COU,Country,MEAS,Measure,SMALL_SUBNATIONAL_REGION,Small subnational region,VAR,Variable,YEA,Year,Unit Code,Unit,Value
AUS,Australia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,915.3531
AUS,Australia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,1845.9855
AUS,Australia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,930.6324
AUS,Australia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,1583.1162
AUS,Australia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,12.93505263
AUS,Australia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,26.08602036
AUS,Australia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,28.81843181
AUT,Austria,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,348.3657
AUT,Austria,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,614.2239
AUT,Austria,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,265.8582
AUT,Austria,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,20.49838215
AUT,Austria,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,36.14189408
AUT,Austria,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,12.98234187
AUT,Austria,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,26.38165411
BEL,Belgium,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,653.4279
BEL,Belgium,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,1101.4146
BEL,Belgium,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,447.9867
BEL,Belgium,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,653.5656
BEL,Belgium,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,19.34344336
BEL,Belgium,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,32.60520546
CAN,Canada,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,1851.1956
CAN,Canada,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,4104.5517
CAN,Canada,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,2253.3561
CAN,Canada,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,2146.6098
CAN,Canada,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,19.87799807
CAN,Canada,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,44.07436511
CAN,Canada,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,20.18416009
CAN,Canada,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,29.95474114
CZE,Czech Republic,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,289.638
CZE,Czech Republic,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,586.6965
CZE,Czech Republic,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,297.0585
CZE,Czech Republic,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,470.8737
CZE,Czech Republic,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,12.23272976
CZE,Czech Republic,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,24.77886097
CZE,Czech Republic,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,11.17867421
CZE,Czech Republic,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,24.82390073
DNK,Denmark,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,326.2212
DNK,Denmark,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,12.96765758
DNK,Denmark,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,30.15355065
DNK,Denmark,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,15.21310916
