COUNTRY,YEAR,TYPE,VALUE,SOURCE
Algeria,2017,Land area (thousand hectares),238174,
Algeria,2017,Arable land (thousand hectares),7470.8071,
Algeria,2017,Permanent crops (thousand hectares),1012.619,
Algeria,2017,Forest cover (thousand hectares),1956,Estimate.
Algeria,2017,Arable land (% of total land area),3.1367,
Algeria,2017,Permanent crops (% of total land area),0.4252,
Algeria,2017,Forest cover (% of total land area),0.8212,Estimate.
Algeria,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),16.6339,
Angola,2017,Land area (thousand hectares),124670,
Angola,2017,Arable land (thousand hectares),4900,Estimate.
Angola,2017,Permanent crops (thousand hectares),315,Estimate.
Angola,2017,Forest cover (thousand hectares),57856,Estimate.
Angola,2017,Arable land (% of total land area),3.9304,Estimate.
Angola,2017,Permanent crops (% of total land area),0.2527,Estimate.
Angola,2017,Forest cover (% of total land area),46.4073,Estimate.
Angola,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),28.054,
Benin,2017,Land area (thousand hectares),11276,Estimate.
Benin,2017,Arable land (thousand hectares),2800,Estimate.
Benin,2017,Permanent crops (thousand hectares),600,Estimate.
Benin,2017,Forest cover (thousand hectares),4311,Estimate.
Benin,2017,Arable land (% of total land area),24.8315,Estimate.
Benin,2017,Permanent crops (% of total land area),5.321,Estimate.
Benin,2017,Forest cover (% of total land area),38.2316,Estimate.
Benin,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),66.6644,
Botswana,2017,Land area (thousand hectares),56673,Estimate.
Botswana,2017,Arable land (thousand hectares),257.8,Estimate.
Botswana,2017,Permanent crops (thousand hectares),2,Estimate.
Botswana,2017,Forest cover (thousand hectares),10840,Estimate.
Botswana,2017,Arable land (% of total land area),0.4549,Estimate.
Botswana,2017,Permanent crops (% of total land area),0.0035,Estimate.
Botswana,2017,Forest cover (% of total land area),19.1273,Estimate.
Botswana,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.0879,
Burkina Faso,2017,Land area (thousand hectares),27360,Estimate.
Burkina Faso,2017,Arable land (thousand hectares),6000,Estimate.
Burkina Faso,2017,Permanent crops (thousand hectares),100,Estimate.
Burkina Faso,2017,Forest cover (thousand hectares),5350,Estimate.
Burkina Faso,2017,Arable land (% of total land area),21.9298,Estimate.
Burkina Faso,2017,Permanent crops (% of total land area),0.3655,Estimate.
Burkina Faso,2017,Forest cover (% of total land area),19.5541,Estimate.
Burkina Faso,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),66.7121,
Burundi,2017,Land area (thousand hectares),2568,Estimate.
Burundi,2017,Arable land (thousand hectares),1200,Estimate.
Burundi,2017,Permanent crops (thousand hectares),350,Estimate.
Burundi,2017,Forest cover (thousand hectares),276,Estimate.
Burundi,2017,Arable land (% of total land area),46.729,Estimate.
Burundi,2017,Permanent crops (% of total land area),13.6293,Estimate.
