Country,Rate(%)
Gabon,90.09
Libya,80.69
Djibouti,78.06
Sao Tome and Principe,74.35
Algeria,73.73
Equatorial Guinea,73.10
Botswana,70.88
Tunisia,69.57
"Congo, Rep.",67.83
South Africa,67.35
Angola,66.83
Cabo Verde,66.65
Morocco,63.53
"Gambia, The",62.58
Cameroon,57.56
Seychelles,57.55
Ghana,57.35
Mauritania,55.33
Liberia,52.09
Namibia,52.03
Nigeria,51.96
Cote d'Ivoire,51.71
Benin,48.42
Senegal,48.12
Somalia,46.14
"Congo, Dem. Rep.",45.64
Zambia,44.63
Guinea-Bissau,44.20
Mali,43.91
Sierra Leone,42.92
Togo,42.80
"Egypt, Arab Rep.",42.78
Central African Republic,42.20
Mauritius,40.76
Madagascar,38.53
Mozambique,37.07
Guinea,36.88
Eritrea*,35.77
Sudan,35.25
Tanzania,35.23
Zimbabwe,32.24
Burkina Faso,30.61
Comoros,29.38
Lesotho,29.03
Kenya,28.00
Uganda,24.95
Eswatini,24.17
Chad,23.52
Ethiopia,21.70
South Sudan,20.20
Rwanda,17.43
Malawi,17.43
Niger,16.63
Burundi,13.71
